Q2      Ge      dGe
0.28	0.973	0.014
0.3	0.959	0.01
0.3	0.974	0.006
0.36	0.967	0.04
0.49	0.933	0.009
0.57	0.915	0.037
0.6	0.94	0.007
0.62	0.922	0.01
0.79	0.92	0.037
0.93	0.848	0.034
1	0.881	0.009
1.05	0.884	0.009
1.3	0.867	0.025
1.38	0.873	0.036
1.6	0.849	0.004
2	0.81	0.024
2	0.825	0.022
2	0.784	0.013
2.2	0.79	0.006
2.98	0.725	0.021
